ham	Webpage s not available!
ham	Sorry about that this is my mates phone and i didnt write it love Kate
ham	Good night my dear.. Sleepwell&amp;Take care
spam	Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop
ham	If you're thinking of lifting me one then no.
ham	My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar
ham	Ew are you one of them?
ham	Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham	Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham	Now? I'm going out 4 dinner soon..
ham	Sorry, I'll call later
ham	Esplanade lor. Where else...
ham	How. Its a little difficult but its a simple way to enter this place
ham	Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ...  I will be with YOU  Wherevr.. Whenevr.. Forevr... Gudnyt dear..
ham	Everybody had fun this evening. Miss you.
ham	Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham	Well, I meant as opposed to my drunken night of before
ham	MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham	I think just yourself …Thanks and see you tomo
ham	Greetings me, ! Consider yourself excused.
ham	Ok... C ya...
ham	Yo theres no class tmrw right?
ham	Great. So should i send you my account number.
ham	He remains a bro amongst bros
spam	8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
spam	Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham	No shoot me. I'm in the docs waiting room. :/
ham	Hey... What time is your driving on fri? We go for evaluation on fri?
ham	Still work going on:)it is very small house.
ham	Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham	Update your face book status frequently :)
ham	Sorry, I'll call later
ham	Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...
ham	In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham	Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?
spam	Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm
ham	Oh really?? Did you make it on air? What's your talent?
ham	Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham	Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
ham	I wanna watch that movie
ham	Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham	I am not having her number sir
ham	I just saw ron burgundy captaining a party boat so yeah
ham	I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham	Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
ham	One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham	Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?
ham	Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
ham	Why she wants to talk to me
ham	Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham	Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
ham	Indeed and by the way it was either or - not both !
ham	Y cant u try new invention to fly..i'm not joking.,
ham	Yeah we do totes. When u wanna?
spam	Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham	Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham	I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham	Howz that persons story
ham	I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham	Hmm thinking lor...
spam	Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham	Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love
ham	If i let you do this, i want you in the house by 8am.
ham	Whatsup there. Dont u want to sleep
spam	FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
ham	i thought we were doing a king of the hill thing there.
ham	Cos darren say ü considering mah so i ask ü...
ham	Hey babe! I saw you came online for a second and then you disappeared, what happened ?
ham	It certainly puts things into perspective when something like this happens
ham	Every day i use to sleep after  &lt;#&gt;  so only.
ham	Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham	Why tired what special there you had
ham	Where r we meeting?
ham	Yup n her fren lor. I'm meeting my fren at 730.
ham	What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
ham	K and you're sure I don't have to have consent forms to do it :V
ham	Cheers for the card ... Is it that time of year already?
ham	OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham	K I'll take care of it
ham	Yeah whatever lol
ham	twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
spam	You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham	HI ITS KATE CAN U GIVE ME A RING ASAP XXX
spam	YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins
ham	Sorry . I will be able to get to you. See you in the morning.
ham	That depends. How would you like to be treated? :)
ham	Once free call me sir. I am waiting for you.
ham	Better than bb. If he wont use it, his wife will or them doctor
ham	Ok... Take ur time n enjoy ur dinner...
ham	Beautiful Truth against Gravity.. Read carefully: Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.. GOOD NIGHT
ham	Or i go home first lar ü wait 4 me lor.. I put down my stuff first..
spam	Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8
spam	Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
ham	How come she can get it? Should b quite diff to guess rite...
ham	Want to finally have lunch today?
ham	At home by the way
ham	i cant talk to you now.i will call when i can.dont keep calling.
ham	Nothing. Can...
ham	Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
ham	Designation is software developer and may be she get chennai:)
ham	Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
ham	Wat time liao, where still got.
spam	Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham	Gud gud..k, chikku tke care.. sleep well gud nyt
ham	Probably not, still going over some stuff here
ham	Will be out of class in a few hours. Sorry
ham	I told that am coming on wednesday.
spam	LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham	May i call You later Pls
ham	Yeah get the unlimited
ham	Excellent! Wish we were together right now!
ham	Mm feeling sleepy. today itself i shall get that dear
spam	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham	Oh all have to come ah?
ham	Nah dub but je still buff
ham	WHAT TIME U WRKIN?
ham	Hey so whats the plan this sat? 
ham	Another month. I need chocolate weed and alcohol.
ham	The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel
ham	Sir, i am waiting for your call, once free please call me.
spam	Win a £1000 cash prize or a prize worth £5000
ham	I guess you could be as good an excuse as any, lol.
ham	The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham	Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham	Then anything special?
spam	Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm
ham	The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham	Yay can't wait to party together!
spam	Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham	This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
ham	Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
spam	Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
