Webpage s not available!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorry about that this is my mates phone and i didnt write it love Kate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good night my dear.. Sleepwell&amp,Take care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you're thinking of lifting me one then no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ew are you one of them?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Now? I'm going out 4 dinner soon..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorry, I'll call later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esplanade lor. Where else...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How. Its a little difficult but its a simple way to enter this place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ...  I will be with YOU  Wherevr.. Whenevr.. Forevr... Gudnyt dear..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everybody had fun this evening. Miss you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well, I meant as opposed to my drunken night of before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I think just yourself …Thanks and see you tomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
