How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,,,,,,,,,,,,,
SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info,,,,,,,,,,
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,,,,,,,,,,,
We can make a baby in yo tho,,,,,,,,,,,,,
Just haven't decided where yet eh ?,,,,,,,,,,,,,
K:)k..its good:)when are you going?,,,,,,,,,,,,,
No it will reach by 9 only. She telling she will be there. I dont know,,,,,,,,,,,,,
Wot about on wed nite I am 3 then but only til 9!,,,,,,,,,,,,,
Wen did you get so spiritual and deep. That's great,,,,,,,,,,,,,
Yep then is fine 7.30 or 8.30 for ice age.,,,,,,,,,,,,,
Argh why the fuck is nobody in town ,_,,,,,,,,,,,,
Love you aathi..love u lot..,,,,,,,,,,,,,
Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ,,,,,,,,,,,,
Tell me they're female :V how're you throwing in? We're deciding what all to get now,,,,,,,,,,,,,
Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop,,,,,,,,,
If you don't respond imma assume you're still asleep and imma start calling n shit,,,,,,,,,,,,,
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,,,,,,,,,,,
Wat time u finish ur lect today?,,,,,,,,,,,,,
Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,,,,,,,,,,,,,
Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*,,,,,,,,,,,,
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,,,,,,,,,,,
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,,,,,,,,,,,,,
Wa... U so efficient... Gee... Thanx...,,,,,,,,,,,,,
Goodmorning, today i am late for  &lt,DECIMAL&gt, min.,,,,,,,,,,
Can you please send me my aunty's number,,,,,,,,,,,,,
Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,,,,,,,,,,,,,
Solve d Case : A Man Was Found Murdered On  &lt,DECIMAL&gt, . &lt,#&gt,  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.,,,
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,,,,,,,,,,,
Only 2% students solved this CAT question in 'xam... 5+3+2= &lt,#&gt,  9+2+4= &lt,#&gt,  8+6+3= &lt,#&gt,  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,,,,,,,
Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?,,,,,,,,,,,,
Yes:)sura in sun tv.:)lol.,,,,,,,,,,,,,
PRIVATE! Your 2003 Account Statement for 078,,,,,,,,,,,,,
no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?,,,,,
